Piute County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,85,16
199002,85,16
199003,85,16
199004,85,16
199005,85,16
199006,106,37
199007,95,26
199008,102,33
199009,108,39
199010,108,39
199011,108,39
199012,108,39
199101,108,39
199102,108,39
199103,108,39
199104,108,39
199105,108,39
199106,86,17
199107,72,3
199108,80,11
199109,74,5
199110,74,5
199111,74,5
199112,74,5
199201,74,5
199202,74,5
199203,74,5
199204,74,5
199205,74,5
199206,77,8
199207,52,-17
199208,46,-23
199209,46,-23
199210,46,-23
199211,46,-23
199212,46,-23
199301,46,-23
199302,46,-23
199303,46,-23
199304,46,-23
199305,46,-23
199306,35,-34
199307,29,-40
199308,20,-49
199309,20,-49
199310,20,-49
199311,20,-49
199312,20,-49
199401,20,-49
199402,20,-49
199403,20,-49
199404,20,-49
199405,20,-49
199406,72,3
199407,140,71
199408,195,126
199409,195,126
199410,195,126
199411,195,126
199412,195,126
199501,195,126
199502,195,126
199503,195,126
199504,195,126
199505,195,126
199506,143,74
199507,82,13
199508,66,-3
199509,66,-3
199510,66,-3
199511,66,-3
199512,66,-3
199601,66,-3
199602,66,-3
199603,66,-3
199604,66,-3
199605,66,-3
199606,103,34
199607,171,102
199608,164,95
199609,164,95
199610,164,95
199611,164,95
199612,164,95
199701,164,95
199702,164,95
199703,164,95
199704,164,95
199705,164,95
199706,141,72
199707,75,6
199708,51,-18
199709,51,-18
199710,51,-18
199711,51,-18
199712,51,-18
199801,51,-18
199802,51,-18
199803,51,-18
199804,51,-18
199805,51,-18
199806,37,-32
199807,82,13
199808,103,34
199809,103,34
199810,103,34
199811,103,34
199812,103,34
199901,103,34
199902,103,34
199903,103,34
199904,103,34
199905,103,34
199906,114,45
199907,86,17
199908,56,-13
199909,56,-13
199910,56,-13
199911,56,-13
199912,56,-13
200001,56,-13
200002,56,-13
200003,56,-13
200004,56,-13
200005,56,-13
200006,74,5
200007,109,40
200008,142,73
200009,142,73
200010,142,73
200011,142,73
200012,142,73
200101,142,73
200102,142,73
200103,142,73
200104,142,73
200105,142,73
200106,143,74
200107,117,48
200108,126,57
200109,134,65
200110,134,65
200111,134,65
200112,134,65
200201,134,65
200202,134,65
200203,134,65
200204,134,65
200205,134,65
200206,157,88
200207,237,168
200208,230,161
200209,222,153
200210,222,153
200211,222,153
200212,222,153
200301,222,153
200302,222,153
200303,222,153
200304,222,153
200305,222,153
200306,191,122
200307,220,151
200308,220,151
200309,220,151
200310,220,151
200311,220,151
200312,220,151
200401,220,151
200402,220,151
200403,220,151
200404,220,151
200405,220,151
200406,219,150
200407,104,35
200408,72,3
200409,72,3
200410,72,3
200411,72,3
200412,72,3
200501,72,3
200502,72,3
200503,72,3
200504,72,3
200505,72,3
200506,51,-18
200507,104,35
200508,101,32
200509,101,32
200510,101,32
200511,101,32
200512,101,32
200601,101,32
200602,101,32
200603,101,32
200604,101,32
200605,101,32
200606,139,70
200607,128,59
200608,138,69
200609,138,69
200610,138,69
200611,138,69
200612,138,69
200701,138,69
200702,138,69
200703,138,69
200704,138,69
200705,138,69
200706,128,59
200707,148,79
200708,178,109
200709,178,109
200710,178,109
200711,178,109
200712,178,109
200801,178,109
200802,178,109
200803,178,109
200804,178,109
200805,178,109
200806,163,94
200807,127,58
200808,116,47
200809,116,47
200810,116,47
200811,116,47
200812,116,47
200901,116,47
200902,116,47
200903,116,47
200904,116,47
200905,116,47
200906,109,40
200907,108,39
200908,90,21
200909,90,21
200910,90,21
200911,90,21
200912,90,21
201001,90,21
201002,90,21
201003,90,21
201004,90,21
201005,90,21
201006,101,32
201007,94,25
201008,91,22
201009,91,22
201010,91,22
201011,91,22
201012,91,22
201101,91,22
201102,91,22
201103,91,22
201104,91,22
201105,91,22
201106,82,13
201107,60,-9
201108,92,23
201109,92,23
201110,92,23
201111,92,23
201112,92,23
201201,92,23
201202,92,23
201203,92,23
201204,92,23
201205,92,23
201206,127,58
201207,135,66
201208,121,52
201209,121,52
201210,121,52
201211,121,52
201212,121,52
201301,121,52
201302,121,52
201303,121,52
201304,121,52
201305,121,52
201306,123,54
201307,141,72
201308,123,54
201309,123,54
201310,123,54
201311,123,54
201312,123,54
201401,123,54
201402,123,54
201403,123,54
201404,123,54
201405,123,54
201406,101,32
201407,123,54
201408,114,45
201409,120,51
201410,120,51
201411,120,51
201412,120,51
201501,120,51
201502,120,51
201503,120,51
201504,120,51
201505,120,51
201506,150,81
201507,82,13
201508,111,42
201509,117,48
201510,117,48
201511,117,48
201512,117,48
201601,117,48
201602,117,48
201603,117,48
201604,117,48
201605,117,48
201606,130,61
201607,181,112
201608,164,95
201609,152,83
201610,152,83
201611,152,83
201612,152,83
201701,152,83
201702,152,83
201703,152,83
201704,152,83
201705,152,83
201706,141,72
201707,166,97
201708,183,114
201709,183,114
201710,183,114
201711,183,114
201712,183,114
201801,183,114
201802,183,114
201803,183,114
201804,183,114
201805,183,114
201806,184,115
201807,202,133
201808,222,153
201809,232,163
201810,232,163
201811,232,163
201812,232,163
201901,232,163
201902,232,163
201903,232,163
201904,232,163
201905,232,163
201906,185,116
201907,122,53
201908,117,48
201909,107,38
201910,107,38
201911,107,38
201912,107,38
202001,107,38
202002,107,38
202003,107,38
202004,107,38
202005,107,38
202006,114,45
202007,138,69
202008,214,145
202009,221,152
202010,221,152
202011,221,152
202012,221,152
202101,221,152
202102,221,152
202103,221,152
202104,221,152
202105,221,152
202106,278,209
202107,309,240
202108,210,141
202109,210,141
202110,210,141
202111,210,141
202112,210,141
202201,210,141
202202,210,141
202203,210,141
202204,210,141
202205,210,141
202206,166,97
202207,152,83
202208,164,95
202209,173,104
202210,173,104
202211,173,104
202212,173,104
202301,173,104
202302,173,104
202303,173,104
202304,173,104
202305,173,104
202306,150,81
202307,179,110
202308,166,97
202309,150,81
202310,150,81
202311,150,81
202312,150,81
202401,150,81
202402,150,81
202403,150,81
