Utah County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,46.9,1.2
199002,47.2,1.4
199003,47.1,1.3
199004,47.1,1.3
199005,46.9,1.1
199006,47.2,1.4
199007,47.1,1.3
199008,47.1,1.3
199009,47.5,1.7
199010,47.5,1.7
199011,47.5,1.7
199012,46.8,1.0
199101,46.3,0.6
199102,46.9,1.1
199103,46.5,0.7
199104,45.9,0.1
199105,45.7,-0.1
199106,45.5,-0.3
199107,45.5,-0.3
199108,45.6,-0.2
199109,45.1,-0.7
199110,45.1,-0.7
199111,45.0,-0.8
199112,45.6,-0.2
199201,45.9,0.2
199202,46.1,0.3
199203,46.6,0.8
199204,47.4,1.6
199205,48.1,2.3
199206,48.2,2.4
199207,47.9,2.1
199208,47.9,2.1
199209,48.0,2.2
199210,48.2,2.4
199211,47.8,2.0
199212,47.5,1.7
199301,47.4,1.7
199302,46.6,0.8
199303,46.3,0.5
199304,45.6,-0.2
199305,45.5,-0.3
199306,45.1,-0.7
199307,44.9,-0.9
199308,44.6,-1.2
199309,44.4,-1.4
199310,44.0,-1.8
199311,44.1,-1.7
199312,44.5,-1.3
199401,45.0,-0.7
199402,45.2,-0.6
199403,45.4,-0.4
199404,45.6,-0.2
199405,45.7,-0.1
199406,46.5,0.7
199407,47.1,1.3
199408,47.6,1.8
199409,48.0,2.2
199410,47.9,2.1
199411,47.8,2.0
199412,47.9,2.1
199501,47.7,2.0
199502,48.5,2.7
199503,48.3,2.5
199504,48.0,2.2
199505,47.3,1.5
199506,46.5,0.7
199507,46.1,0.3
199508,46.0,0.2
199509,45.8,0.0
199510,45.9,0.1
199511,46.9,1.1
199512,47.2,1.4
199601,47.1,1.4
199602,46.5,0.7
199603,46.5,0.7
199604,46.7,0.9
199605,47.1,1.3
199606,47.7,1.9
199607,48.1,2.3
199608,48.0,2.2
199609,47.7,1.9
199610,47.7,1.9
199611,47.3,1.5
199612,47.1,1.3
199701,47.0,1.3
199702,46.7,0.9
199703,46.8,1.0
199704,46.6,0.8
199705,46.8,1.0
199706,46.6,0.8
199707,46.2,0.4
199708,46.2,0.4
199709,46.5,0.7
199710,46.5,0.7
199711,46.5,0.7
199712,46.2,0.4
199801,46.6,0.9
199802,46.8,1.0
199803,46.5,0.7
199804,46.7,0.9
199805,46.4,0.6
199806,45.9,0.1
199807,46.2,0.4
199808,46.2,0.4
199809,46.4,0.6
199810,46.3,0.5
199811,46.3,0.5
199812,46.4,0.6
199901,46.4,0.7
199902,46.6,0.8
199903,46.9,1.1
199904,46.7,0.9
199905,46.5,0.7
199906,46.9,1.1
199907,46.7,0.9
199908,46.7,0.9
199909,46.3,0.5
199910,46.6,0.8
199911,47.1,1.3
199912,47.2,1.4
200001,47.2,1.5
200002,47.5,1.7
200003,47.2,1.4
200004,47.9,2.1
200005,48.4,2.6
200006,48.6,2.8
200007,48.9,3.1
200008,49.1,3.3
200009,49.3,3.5
200010,49.1,3.3
200011,47.9,2.1
200012,48.0,2.2
200101,47.6,1.9
200102,47.3,1.5
200103,47.5,1.7
200104,47.2,1.4
200105,47.3,1.5
200106,47.3,1.5
200107,47.2,1.4
200108,47.2,1.4
200109,47.5,1.7
200110,47.7,1.9
200111,48.6,2.8
200112,48.2,2.4
200201,48.0,2.3
200202,47.7,1.9
200203,47.2,1.4
200204,47.4,1.6
200205,47.1,1.3
200206,47.2,1.4
200207,47.4,1.6
200208,47.1,1.3
200209,46.7,0.9
200210,46.3,0.5
200211,45.9,0.1
200212,46.4,0.6
200301,47.3,1.6
200302,47.4,1.6
200303,47.8,2.0
200304,47.6,1.8
200305,47.7,1.9
200306,47.4,1.6
200307,47.5,1.7
200308,47.7,1.9
200309,47.7,1.9
200310,48.4,2.6
200311,48.3,2.5
200312,48.4,2.6
200401,47.5,1.8
200402,47.2,1.4
200403,47.6,1.8
200404,47.8,2.0
200405,47.8,2.0
200406,47.9,2.1
200407,47.5,1.7
200408,47.1,1.3
200409,47.0,1.2
200410,46.5,0.7
200411,46.7,0.9
200412,46.6,0.8
200501,47.4,1.7
200502,47.9,2.1
200503,47.4,1.6
200504,47.2,1.4
200505,47.1,1.3
200506,46.8,1.0
200507,46.9,1.1
200508,47.1,1.3
200509,47.1,1.3
200510,47.2,1.4
200511,47.4,1.6
200512,47.3,1.5
200601,47.0,1.3
200602,46.7,0.9
200603,46.6,0.8
200604,46.8,1.0
200605,47.0,1.2
200606,47.6,1.8
200607,47.7,1.9
200608,47.7,1.9
200609,47.5,1.7
200610,47.2,1.4
200611,47.1,1.3
200612,47.1,1.3
200701,46.4,0.7
200702,46.6,0.8
200703,47.2,1.4
200704,47.2,1.4
200705,47.1,1.3
200706,47.1,1.3
200707,47.2,1.4
200708,47.5,1.7
200709,47.7,1.9
200710,47.9,2.1
200711,48.1,2.3
200712,47.9,2.1
200801,48.0,2.3
200802,47.7,1.9
200803,47.0,1.2
200804,46.5,0.7
200805,46.1,0.3
200806,45.7,-0.1
200807,45.5,-0.3
200808,45.4,-0.4
200809,45.4,-0.4
200810,45.4,-0.4
200811,45.4,-0.4
200812,45.7,-0.1
200901,46.1,0.4
200902,46.4,0.6
200903,46.6,0.8
200904,46.9,1.1
200905,47.3,1.5
200906,47.0,1.2
200907,46.9,1.1
200908,46.7,0.9
200909,47.0,1.2
200910,46.5,0.7
200911,46.4,0.6
200912,46.0,0.2
201001,46.0,0.3
201002,45.9,0.1
201003,45.9,0.1
201004,45.9,0.1
201005,45.2,-0.6
201006,45.5,-0.3
201007,45.5,-0.3
201008,45.6,-0.2
201009,45.5,-0.3
201010,46.1,0.3
201011,45.6,-0.2
201012,46.5,0.7
201101,46.2,0.5
201102,46.0,0.2
201103,46.0,0.2
201104,45.9,0.1
201105,46.0,0.2
201106,45.8,0.0
201107,45.7,-0.1
201108,45.9,0.1
201109,45.8,0.0
201110,45.7,-0.1
201111,45.9,0.1
201112,45.5,-0.3
201201,45.9,0.2
201202,46.1,0.3
201203,46.5,0.7
201204,47.1,1.3
201205,47.7,1.9
201206,48.1,2.3
201207,48.3,2.5
201208,48.4,2.6
201209,48.4,2.6
201210,48.4,2.6
201211,48.9,3.1
201212,48.9,3.1
201301,48.1,2.4
201302,47.8,2.0
201303,47.6,1.8
201304,47.1,1.3
201305,46.9,1.1
201306,47.0,1.2
201307,47.1,1.3
201308,46.9,1.1
201309,46.7,0.9
201310,46.4,0.6
201311,46.2,0.4
201312,45.9,0.1
201401,46.6,0.9
201402,47.2,1.4
201403,47.2,1.4
201404,47.4,1.6
201405,47.5,1.7
201406,47.3,1.5
201407,47.3,1.5
201408,47.0,1.2
201409,47.2,1.4
201410,47.7,1.9
201411,47.6,1.8
201412,48.2,2.4
201501,48.5,2.8
201502,48.9,3.1
201503,49.3,3.5
201504,49.4,3.6
201505,49.1,3.3
201506,49.6,3.8
201507,49.2,3.4
201508,49.5,3.7
201509,49.7,3.9
201510,49.8,4.0
201511,49.6,3.8
201512,49.2,3.4
201601,48.7,3.0
201602,48.3,2.5
201603,48.0,2.2
201604,48.1,2.3
201605,48.1,2.3
201606,48.1,2.3
201607,48.4,2.6
201608,48.5,2.7
201609,48.1,2.3
201610,48.0,2.2
201611,48.6,2.8
201612,48.6,2.8
201701,48.5,2.8
201702,48.8,3.0
201703,49.1,3.3
201704,48.8,3.0
201705,48.9,3.1
201706,48.7,2.9
201707,48.8,3.0
201708,48.9,3.1
201709,48.8,3.0
201710,48.3,2.5
201711,48.4,2.6
201712,48.6,2.8
201801,49.3,3.6
201802,48.8,3.0
201803,48.3,2.5
201804,48.5,2.7
201805,48.7,2.9
201806,48.7,2.9
201807,48.7,2.9
201808,48.7,2.9
201809,49.3,3.5
201810,49.3,3.5
201811,48.6,2.8
201812,48.4,2.6
201901,47.9,2.2
201902,47.7,1.9
201903,47.7,1.9
201904,47.7,1.9
201905,47.1,1.3
201906,46.6,0.8
201907,46.4,0.6
201908,46.5,0.7
201909,46.1,0.3
201910,45.7,-0.1
201911,46.0,0.2
201912,46.2,0.4
202001,46.4,0.7
202002,46.5,0.7
202003,46.7,0.9
202004,46.7,0.9
202005,47.3,1.5
202006,47.4,1.6
202007,47.4,1.6
202008,47.7,1.9
202009,47.8,2.0
202010,48.6,2.8
202011,48.7,2.9
202012,48.5,2.7
202101,48.4,2.7
202102,48.5,2.7
202103,48.3,2.5
202104,48.2,2.4
202105,48.1,2.3
202106,48.8,3.0
202107,49.0,3.2
202108,48.6,2.8
202109,48.6,2.8
202110,48.4,2.6
202111,48.7,2.9
202112,48.9,3.1
202201,49.0,3.3
202202,48.8,3.0
202203,49.0,3.2
202204,48.9,3.1
202205,48.6,2.8
202206,48.1,2.3
202207,48.1,2.3
202208,48.2,2.4
202209,48.4,2.6
202210,48.7,2.9
202211,47.8,2.0
202212,47.5,1.7
202301,47.2,1.5
202302,47.2,1.4
202303,46.5,0.7
202304,46.4,0.6
202305,46.8,1.0
202306,46.4,0.6
202307,46.3,0.5
202308,46.2,0.4
202309,45.9,0.1
202310,45.8,0.0
202311,46.4,0.6
202312,46.9,1.1
202401,47.2,1.5
202402,47.7,1.9
202403,48.3,2.5
